Control_ID,COSO_Component,COSO_Principle_No,Business_Process,Risk_Description,Inherent_Risk_Level,Control_Mechanism,Control_Type,Implementation_Status,Residual_Risk_Score,Islamic_Governance_Dimension,Auditor_Recommendation
CTRL-001,Control Environment,Principle 1 (Integrity & Ethical Values),Manajemen SDM & Rekrutmen,Risiko benturan kepentingan dan penerimaan suap oleh Account Officer dari debitur,High,Pakta Integritas & Deklarasi Bebas Benturan Kepentingan tahunan,Preventive,Effective,Low,Sidq & Amanah,Pertahankan deklarasi tahunan dan tambahkan audit silang gaya hidup AO
CTRL-002,Control Environment,Principle 2 (Board Independence & Oversight),Tata Kelola DPS & Komisaris,Komite Audit dan DPS tidak menerima laporan berkala log pelanggaran sistem,Critical,Rapat koordinasi kuartalan tanpa akses dashboard audit real-time,Detective,Deficient,High,Raqabah & Hisbah,Wajibkan dashboard monitoring audit trail digital yang dapat diakses DPS secara independen
CTRL-003,Control Environment,Principle 3 (Management Structure & Authority),Otorisasi Pembiayaan,Staf marketing merangkap input data dan persetujuan plafon mikro (Pelanggaran SoD),High,Approval otomatis sistem tanpa validasi ganda untuk nominal di bawah 20 juta,Preventive,Material Weakness,Critical,Amanah,Wajibkan Segregation of Duties dan two-tier approval via sistem core banking
CTRL-004,Control Environment,Principle 4 (Competence Commitment),Pelatihan IT & Syariah,Operator teller salah menerapkan PSAK 102 (Murabahah) karena kurangnya sertifikasi,Medium,Pelatihan in-house tahunan tanpa uji kompetensi berkala,Preventive,Deficient,Medium,Itqan,Sertifikasi wajib kompetensi akuntansi syariah bagi seluruh staf operasional
CTRL-005,Control Environment,Principle 5 (Enforces Accountability),Penilaian Kinerja (KPI),KPI Account Officer hanya fokus target nominal pembiayaan tanpa metrik kualitas kredit,High,Evaluasi kinerja bulanan murni kuantitatif tanpa audit NPF,Corrective,Deficient,High,Adl & Maslahah,Integrasikan metrik kepatuhan syariah dan rasio NPF dalam perhitungan insentif
CTRL-006,Risk Assessment,Principle 6 (Specifies Objectives),Perencanaan Strategis TI,Target migrasi core banking tidak menyertakan estimasi downtime dan mitigasi risiko data,High,Dokumen rencana strategis TI tahunan tanpa Business Impact Analysis (BIA),Preventive,Deficient,High,Ihtiyath,Lakukan BIA komprehensif dan uji Disaster Recovery Plan sebelum implementasi
CTRL-007,Risk Assessment,Principle 7 (Identifies & Analyzes Risk),Penyaluran Pembiayaan,Risiko gagal bayar nasabah mudharabah akibat asimetri informasi dan rekayasa laporan laba,Critical,Analisis credit scoring semi-manual tanpa audit lapangan independen,Detective,Deficient,High,Sidq & Anti-Tadlis,Wajibkan verifikasi mutasi rekening bank dan audit usaha fisik independen
CTRL-008,Risk Assessment,Principle 8 (Assesses Fraud Risk),Kas & Operasional Cabang,Risiko pencurian kas fisik oleh teller sebelum tutup kas harian (Skimming),High,Perhitungan fisik kas harian oleh head teller dan rekonsiliasi brankas,Detective,Effective,Low,Amanah,Pertahankan rekonsiliasi kas harian dan pasang CCTV sudut sempit brankas
CTRL-009,Risk Assessment,Principle 8 (Assesses Fraud Risk),Sistem Kliring & Transfer,Risiko transfer dana tengah malam menggunakan akun dormant (Suspicious Transfer),Critical,Tidak ada pembatasan waktu login operator setelah jam 18:00 WIB,Detective,Material Weakness,Critical,Raqabah,Terapkan Time-Window Restriction otomatis pada core banking database
CTRL-010,Risk Assessment,Principle 9 (Identifies Significant Changes),Regulasi OJK & DSN-MUI,Risiko ketidakpatuhan terhadap fatwa baru DSN-MUI tentang restrukturisasi pembiayaan,Medium,Review manual regulasi oleh legal officer setiap 6 bulan,Preventive,Effective,Low,Wafa bil Aqd,Bentuk unit compliance syariah terintegrasi notifikasi regulasi regulator
