nama_bprs,kota,provinsi,tahun_berdiri,total_nasabah,total_pembiayaan_juta,total_aset_juta,npf_persen,roe_persen,car_persen,fdr_persen,bopo_persen
BPRS Al-Amin,Jakarta,DKI Jakarta,2001,1250,45000,62000,2.1,12.5,18.2,86.4,72.3
BPRS Berkah Syariah,Bogor,Jawa Barat,2005,890,32000,44000,3.4,8.2,16.8,88.1,78.5
BPRS Mandiri Sejahtera,Bandung,Jawa Barat,1998,2100,78000,105000,1.8,15.3,20.1,82.7,68.9
BPRS Amanah Insani,Surabaya,Jawa Timur,2003,1560,56000,76000,2.9,10.8,17.4,85.6,74.2
BPRS Mitra Mentari,Yogyakarta,DI Yogyakarta,2007,1100,38000,52000,1.5,14.7,21.3,84.2,70.1
BPRS Artha Surya,Medan,Sumatera Utara,2009,780,28000,39000,4.1,6.3,15.9,89.7,82.6
BPRS Dana Mulia,Semarang,Jawa Tengah,2002,1430,52000,71000,2.3,11.9,18.7,83.8,71.8
BPRS Bina Amanah,Makassar,Sulawesi Selatan,2006,920,34000,47000,3.1,7.8,16.2,87.3,79.4
BPRS Syariah Barokah,Tangerang,Banten,2004,1680,61000,83000,2.2,13.4,19.6,84.9,72.7
BPRS Al-Falah,Depok,Jawa Barat,2010,740,26000,36000,3.8,7.1,15.4,90.2,81.3
BPRS Tazkia Utama,Bogor,Jawa Barat,2000,980,35000,48000,1.9,13.8,20.4,85.7,71.2
BPRS Cahaya Syariah,Bandung,Jawa Barat,2008,1320,48000,65000,2.6,10.2,17.8,86.1,74.8
BPRS Hidayah Utama,Malang,Jawa Timur,2011,860,31000,43000,3.2,8.9,16.6,88.4,78.1
BPRS Nusantara Mandiri,Denpasar,Bali,2006,1150,42000,57000,2.0,14.1,19.9,83.5,70.6
BPRS Muamalah Sejahtera,Palembang,Sumatera Selatan,2012,670,24000,33000,4.3,5.8,14.7,91.1,84.2
BPRS Aman Sentosa,Bekasi,Jawa Barat,2003,1890,69000,93000,2.4,12.7,18.9,84.3,72.1
BPRS Baitul Maal,Pekanbaru,Riau,2013,560,20000,28000,3.6,6.9,15.1,89.4,80.7
BPRS Dinar Syariah,Padang,Sumatera Barat,2009,720,26000,35000,2.8,9.4,17.1,87.8,76.3
BPRS Faisal Syariah,Makassar,Sulawesi Selatan,2014,490,18000,25000,4.8,4.2,13.8,92.3,86.1
BPRS Gemilang,Samarinda,Kalimantan Timur,2010,810,29000,40000,3.3,7.6,16.0,88.7,79.8
