id_transaksi,tanggal,nama_toko,kota,provinsi,kategori_produk,nama_produk,qty,harga_satuan,total_penjualan,metode_pembayaran,status_halal
T001,2026-01-05,Minimarket Berkah,Bogor,Jawa Barat,Makanan & Minuman,Beras Premium 5 kg,3,75000,225000,QRIS,Bersertifikat MUI
T002,2026-01-07,Toko Amanah,Jakarta,DKI Jakarta,Herbal & Kesehatan,Madu Hutan 500g,2,145000,290000,Transfer Bank,Bersertifikat MUI
T003,2026-01-09,Minimarket Syariah Barokah,Bandung,Jawa Barat,Perawatan Diri,Sampo Zaitun 200ml,4,35000,140000,Tunai,Bersertifikat MUI
T004,2026-01-12,Toko Halal Mandiri,Surabaya,Jawa Timur,Pakaian Muslim,Mukena Premium,1,185000,185000,Kartu Debit,Bersertifikat MUI
T005,2026-01-14,Minimarket Hijau,Yogyakarta,DI Yogyakarta,Makanan & Minuman,Kurma Ajwa 500g,5,125000,625000,QRIS,Bersertifikat MUI
T006,2026-01-16,Minimarket Berkah,Bogor,Jawa Barat,Perawatan Diri,Pasta Gigi Siwak,6,22000,132000,Tunai,Bersertifikat MUI
T007,2026-01-18,Toko Amanah,Jakarta,DKI Jakarta,Perlengkapan Rumah,Deterjen Halal 1kg,8,25000,200000,QRIS,Bersertifikat MUI
T008,2026-01-20,Minimarket Syariah Barokah,Bandung,Jawa Barat,Herbal & Kesehatan,Habbatussauda 100 kapsul,3,55000,165000,Transfer Bank,Bersertifikat MUI
T009,2026-01-22,Toko Halal Mandiri,Surabaya,Jawa Timur,Makanan & Minuman,Minyak Goreng Bimoli,10,28000,280000,Tunai,Bersertifikat MUI
T010,2026-01-25,Minimarket Hijau,Yogyakarta,DI Yogyakarta,Pakaian Muslim,Jilbab Jersey,2,65000,130000,Kartu Debit,Bersertifikat MUI
T011,2026-02-03,Minimarket Berkah,Bogor,Jawa Barat,Makanan & Minuman,Susu Full Cream 1L,12,18000,216000,QRIS,Bersertifikat MUI
T012,2026-02-05,Toko Amanah,Jakarta,DKI Jakarta,Perawatan Diri,Krim Wajah Aloe Vera,3,45000,135000,Transfer Bank,Dalam Proses
T013,2026-02-08,Minimarket Syariah Barokah,Bandung,Jawa Barat,Makanan & Minuman,Mie Instan Halal,20,3500,70000,Tunai,Bersertifikat MUI
