Batch_ID,Nama_Produk,Bahan_Baku_Kunci,Nama_Pemasok,No_Sertifikat_Halal,Status_QC_Inbound,Lini_Produksi,Suhu_Penyimpanan_C,Auditor_Halal_Penanggungjawab,Rute_Distribusi,Stok_Tersedia_Kg_Unit,Status_Kepatuhan_Syariah
BATCH-2026-H01,Daging Sapi Marinasi Halal 1kg,Daging Sapi Segar,RPH Halal Surya Berkah,ID3211000012345,Passed (Sembelihan Syar'i),Line 1 (Dedicated Halal),-18,"Ust. Ridwan, M.Ag",Rantai Dingin Jakarta-Bandung,1500,Compliant
BATCH-2026-H02,Bumbu Ekstrak Rempah 500g,"Lada, Bawang, Garam, MSG Halal",PT Rempah Alami Nusantara,ID3111000054321,Passed (Bebas Alkohol),Line 2 (Pencampuran),24,"Dra. Fatimah, Apt",Gudang Distribusi Cikarang,800,Compliant
BATCH-2026-H03,Minyak Goreng Kelapa Sawit 2L,CPO Kelapa Sawit,PT Sawit Berkah Hijau,ID1411000098765,Passed (Plant-based 100%),Line 3 (Bottling),25,Ir. Ahmad Zaki,Distribusi Retail Jabodetabek,4200,Compliant
BATCH-2026-H04,Gelatin Halal Kapsul 100ct,Gelatin Tulang Sapi Halal,Gelatin Syariah International,ID0041000088888,Passed (Impor Bersertifikat Halal),Line 4 (Pharma Cleanroom),20,Dr. H. Salman Faris,Apotek & Klinik Syariah,650,Compliant
BATCH-2026-H05,Saus Sambal Ekstra Pedas 1L,"Cabai, Cuka, Pengawet Kalium Sorbat",PT Agro Agro Pangan Sejahtera,ID3511000033333,Passed (Bebas Najis),Line 2 (Mixing & Filling),25,"Dra. Fatimah, Apt",Distributor Jawa Barat,2100,Compliant
BATCH-2026-H06,Tepung Bumbu Serbaguna 500g,"Gandum, Pati Jagung, Perisa Ayam",PT Pangan Halal Abadi,ID3211000077777,Passed (Perisa Sintetis Halal),Line 5 (Dry Powder),25,Ir. Ahmad Zaki,Agen Pasar Tradisional,3100,Compliant
BATCH-2026-H07,Keju Mozzarella Halal 250g,"Susu Sapi, Rennet Mikroba",Koperasi Peternak Sapi Bandung,ID3221000044444,Passed (Rennet Non-Hewani),Line 1 (Dairy Cold),4,"Ust. Ridwan, M.Ag",Supermarket & Resto Halal,950,Compliant
BATCH-2026-H08,Kecap Manis Tradisional 600ml,"Kedelai Hitam, Gula Kelapa, Rempah",Kecap Warisan Barokah,ID3311000022222,Passed (Fermentasi Alami Bebas Etanol),Line 2 (Bottling Kecap),25,"Dra. Fatimah, Apt",Gudang Retail Surabaya,1800,Compliant
BATCH-2026-H09,Nugget Ayam Crispy 500g,"Daging Ayam Broiler, Tepung, Telur",RPA Ayam Berkah Utama,ID3211000066666,Passed (Juleha Bersertifikat),Line 1 (Dedicated Halal),-18,"Ust. Ridwan, M.Ag",Cold Chain Jawa Tengah,2400,Compliant
BATCH-2026-H10,Minuman Sari Kedelai Murni 250ml,"Kedelai Non-GMO, Gula Tebu, Air",PT Kedelai Sehat Alami,ID3611000011111,Passed (UHT Aseptic),Line 6 (Tetra Pak),25,Ir. Ahmad Zaki,Minimarket Seluruh Indonesia,5000,Compliant
