Log_ID,Timestamp,Transaction_ID,User_ID,User_Role,Program_Module,Control_Layer,Control_Technique,Input_Raw_Data,Validation_Result,Error_Description,Batch_ID,Batch_Hash_Total_Check,Audit_Trail_Status,Syariah_Compliance_Flag
LOG-2026-001,2026-07-01 08:30:15,TRX-MUR-1001,usr_teller01,Teller,Cash Deposit,Input Control,Field Check (Numeric),1500000A,Failed,Invalid character in numeric amount field,BATCH-0701-A,Matched,Logged & Blocked,Compliant
LOG-2026-002,2026-07-01 08:32:00,TRX-MUR-1001,usr_teller01,Teller,Cash Deposit,Input Control,Field Check (Numeric),1500000,Passed,Transaction valid and posted,BATCH-0701-A,Matched,Logged & Committed,Compliant
LOG-2026-003,2026-07-01 09:15:22,TRX-WAD-1002,usr_teller02,Teller,Withdrawal,Input Control,Sign Check (Positive),-500000,Failed,Negative withdrawal amount rejected,BATCH-0701-A,Matched,Logged & Blocked,Compliant
LOG-2026-004,2026-07-01 09:40:10,TRX-MUR-1003,usr_ao_field01,Account Officer,Disbursement,Input Control,Limit Check (Plafon Max),65000000,Failed,Amount exceeds Branch AO limit of 50M,BATCH-0701-A,Matched,Logged & Escalated to BM,Compliant
LOG-2026-005,2026-07-01 10:05:45,TRX-WAD-1004,usr_cs01,Customer Service,Account Opening,Input Control,Range Check (Age 17-75),12,Failed,Applicant age below minimum policy,BATCH-0701-A,Matched,Logged & Blocked,Compliant
LOG-2026-006,2026-07-01 10:25:30,TRX-MUR-1005,usr_teller01,Teller,Installment,Input Control,Check Digit Verification,3201015502900005,Failed,Luhn modulo 10 checksum mismatch on KTP,BATCH-0701-A,Matched,Logged & Blocked,Compliant
LOG-2026-007,2026-07-01 11:10:00,TRX-MUR-1006,usr_ao_field02,Account Officer,Loan Application,Input Control,Completeness Check,NULL NIK KTP,Failed,Mandatory field NIK missing in application,BATCH-0701-A,Matched,Logged & Blocked,Compliant
LOG-2026-008,2026-07-01 11:45:18,TRX-WAD-1007,usr_teller02,Teller,Cash Deposit,Input Control,Validity Check (COA),GL-99999,Failed,Account code GL-99999 not found in master chart,BATCH-0701-A,Matched,Logged & Blocked,Compliant
LOG-2026-009,2026-07-01 12:00:00,BATCH-POST-01,usr_system_batch,Batch Daemon,End of Shift Batch,Processing Control,Batch Total (Financial & Hash),Sum: 145000000 | Hash: 8849201,Passed,Batch totals matched header controls,BATCH-0701-A,Matched,Batch Committed,Compliant
LOG-2026-010,2026-07-01 13:15:00,TRX-MUR-1008,usr_ao_field03,Account Officer,Disbursement,Input Control,Reasonableness Check,150000000,Failed,Margin rate 85% exceeds ceiling guideline,BATCH-0701-B,Matched,Logged & Blocked,Compliant (Anti-Riba/Zulm)
LOG-2026-011,2026-07-01 14:20:10,TRX-GL-1009,usr_acc_staff01,Accounting,Journal Entry,Processing Control,Cross-Footing Balance Test,Dr: 25000000 | Cr: 24500000,Failed,Out of balance entry difference Rp 500.000,BATCH-0701-B,Mismatch,Logged & Rejected,Compliant
LOG-2026-012,2026-07-01 14:22:30,TRX-GL-1009,usr_acc_staff01,Accounting,Journal Entry,Processing Control,Cross-Footing Balance Test,Dr: 25000000 | Cr: 25000000,Passed,Debet equals Credit journal accepted,BATCH-0701-B,Matched,Logged & Committed,Compliant
LOG-2026-013,2026-07-01 15:30:00,BATCH-POST-02,usr_system_batch,Batch Daemon,Daily Settlement,Processing Control,Hash Total Verification,Recorded: 592810 | Calculated: 582810,Failed,Hash total mismatch - dropped transaction detected,BATCH-0701-B,Mismatch,Batch Suspended for Review,Non-Compliant
LOG-2026-014,2026-07-01 16:00:00,REP-STMT-01,usr_system_rpt,Report Engine,E-Statement Generator,Output Control,Data Redaction / Masking,Card: 4512-****-****-8821,Passed,Customer sensitive PII masked in output PDF,BATCH-0701-B,Matched,Report Generated,Compliant (Hifz al-Ird)
LOG-2026-015,2026-07-01 16:30:20,SYS-AUD-01,usr_dba01,Database Admin,DB Schema Modify,ITGC,Change Management Protocol,ALTER TABLE customer,Failed,Direct schema change without change ticket,N/A,N/A,Unauthorized Event Logged,Material Weakness (ITGC)
LOG-2026-016,2026-07-01 17:00:00,SYS-BK-01,usr_backup_srv,Backup Service,Daily Cold Backup,ITGC,Business Continuity (DRP),Snapshot size: 45.2 GB,Passed,Encrypted backup sent to offsite cloud,N/A,N/A,Verified & Checksum OK,Compliant (Hifz al-Mal)
LOG-2026-07-02 08:15:00,TRX-MUR-1010,usr_teller01,Teller,Installment,Input Control,Check Digit Verification,3201015502900014,Passed,Luhn checksum verified valid NIK,BATCH-0702-A,Matched,Logged & Committed,Compliant
LOG-2026-07-02 09:00:30,TRX-MUD-1011,usr_ao_field01,Account Officer,Profit Sharing Entry,Input Control,Range Check (Nisbah Ratio),Nisbah 110:0,Failed,Profit sharing ratio exceeds 100%,BATCH-0702-A,Matched,Logged & Blocked,Compliant (Syariah Ratio)
LOG-2026-07-02 10:15:20,TRX-WAD-1012,usr_teller02,Teller,Cash Withdrawal,Input Control,Limit Check (Cash Floor),12000000,Passed,Supervisor authorization card validated,BATCH-0702-A,Matched,Logged & Approved,Compliant
LOG-2026-07-02 11:30:00,TRX-MUR-1013,usr_teller01,Teller,Cash Deposit,Input Control,Completeness Check,Missing Customer Name,Failed,Mandatory account holder name empty,BATCH-0702-A,Matched,Logged & Blocked,Compliant
LOG-2026-07-02 13:45:10,TRX-GL-1014,usr_acc_staff02,Accounting,Depreciation Batch,Processing Control,Zero-Balance Account Test,Clearing Acc: Rp 0,Passed,Clearing account successfully zeroed out,BATCH-0702-B,Matched,Logged & Committed,Compliant
LOG-2026-07-02 14:50:00,TRX-MUR-1015,usr_ao_field02,Account Officer,Early Settlement,Input Control,Reasonableness Check,Discount: 99%,Failed,Settlement rebate exceeds maximum policy threshold,BATCH-0702-B,Matched,Logged & Blocked,Compliant
LOG-2026-07-02 15:45:00,BATCH-POST-03,usr_system_batch,Batch Daemon,End of Day Batch,Processing Control,Record Count Verification,Header: 150 | Processed: 150,Passed,All 150 batch items processed accurately,BATCH-0702-B,Matched,Batch Committed,Compliant
