Incident_ID,Timestamp,Threat_Category,Attack_Vector,Target_Asset,Severity_Level,Affected_User_or_Host,Detection_Mechanism,Incident_Status,Financial_Impact_Estimate_Rp,Islamic_Maqashid_Impact,Forensic_Finding_Summary
INC-2026-001,2026-06-01 08:14:22,Social Engineering,Spear Phishing Email,Finance Officer Workstation,High,usr_finance01 (Siti Rahma),EDR Quarantine Alert,Contained,0,Hifz al-Mal,Email palsu mengatasnamakan Bank Indonesia dengan attachment dokumen tagihan makro berkedok invoice.docm
INC-2026-002,2026-06-03 14:22:10,Hacking & Exploitation,SQL Injection,Public Web Portal Core API,Critical,srv_web_portal (IP 192.168.10.15),WAF Block Rule 942100,Blocked,0,Hifz al-Mal & Hifz al-Ird,Payload SQL Injection pada parameter username form login login.php?user=admin OR 1=1 gagal mengekstrak tabel nasabah
INC-2026-003,2026-06-05 22:45:00,Hacking & Exploitation,Brute-Force Attack,Admin VPN Gateway,High,gateway_vpn01,SIEM Multiple Failed Logins,Blocked,0,Hifz al-Mal,Percobaan login 1500 kali dalam 5 menit dari IP anonim luar negeri mencoba akun root dan admin
INC-2026-004,2026-06-08 09:30:15,Malware,Ransomware LockBit Variant,Branch Server KCP Bogor,Critical,srv_branch_bgr (IP 10.20.5.2),User Report & SIEM Alert,Compromised,45000000,Hifz al-Mal,Enkripsi 12000 file dokumen pembiayaan murabahah cabang karena port RDP terbuka tanpa VPN; restored from backup
INC-2026-005,2026-06-10 11:15:40,Human Error,Data Misconfiguration,Public Cloud Storage S3,High,dev_ops_cloud01,Third-Party Security Audit,Remediated,0,Hifz al-Ird,Bucket penyimpanan dokumen KTP nasabah tersetting Public Read selama 4 jam sebelum diblokir tim security
INC-2026-006,2026-06-12 13:05:00,Social Engineering,Vishing (Voice Phishing),Customer Service Desk,Medium,cs_officer02 (Ahmad Fauzi),Manual Escalation,Blocked,0,Hifz al-Amanah,Penelepon mengaku vendor TI meminta master password root server switch; petugas mematuhi SOP dan menolak permintaan
INC-2026-007,2026-06-14 16:40:22,Malware,Trojan InfoStealer (RedLine),Teller Counter PC 03,High,teller_pc03,EDR Malicious Process Detection,Contained,0,Hifz al-Mal,USB flashdisk pribadi karyawan terinfeksi malware pencuri cookies dan kredensial browser; diputus dari LAN
INC-2026-008,2026-06-17 01:10:05,Hacking & Exploitation,Credential Stuffing,Mobile Banking API Endpoint,Critical,api_mobile_gw (IP 192.168.20.50),Rate Limiting & WAF Rule,Blocked,0,Hifz al-Mal & Hifz al-Ird,Serangan 50000 request pencocokan password bocoran dark web pada akun tabungan wadiah; akun rentan di-lock otomatis
INC-2026-009,2026-06-19 10:20:00,Insider Threat,Unauthorized Data Export,Core Banking Database GL,Critical,usr_dba_intern (Akun Magang),DLP (Data Loss Prevention) Alert,Contained,0,Hifz al-Amanah & Hifz al-Mal,Staf magang mencoba mengunduh data saldo 5000 nasabah ke flashdisk tanpa izin supervisor; hak akses dicabut seketika
INC-2026-010,2026-06-21 15:55:30,Social Engineering,Pretexting & Tailgating,Data Center Server Room,Medium,security_guard01,CCTV & Access Card Log,Blocked,0,Hifz al-Mal,Orang tak dikenal berpakaian seragam teknisi AC berusaha masuk ruang server tanpa surat tugas resmi
INC-2026-011,2026-06-24 03:30:00,Hacking & Exploitation,DDoS SYN Flood Attack,Public Online Banking Server,High,srv_public_dns (IP 103.20.15.1),DDoS Scrubbing Center,Mitigated,0,Hifz an-Nafs & Hifz al-Mal,Lonjakan traffic 15 Gbps membanjiri port 443; dialihkan ke traffic scrubber tanpa downtime transaksi
INC-2026-012,2026-06-26 14:10:00,Human Error,Accidental Deletion,Staging Database Mirror,Medium,usr_dev03,Database Backup Log,Remediated,0,Hifz al-Itqan,Developer junior salah mengeksekusi DROP TABLE pada server staging; tidak berdampak pada data production
INC-2026-013,2026-06-28 11:45:18,Malware,Spyware Keylogger,Loan Processing Workstation,High,usr_loan_officer04,Antivirus Heuristic Scan,Contained,0,Hifz al-Amanah,Keylogger terinstal via software konversi PDF bajakan gratis dari internet; PC diformat ulang total
INC-2026-014,2026-07-02 08:50:00,Social Engineering,Business Email Compromise (BEC),Direktur Operasional Email,Critical,usr_dir_ops (H. Faisal),Anti-Phishing DMARC Rule,Blocked,0,Hifz al-Mal & Hifz al-Amanah,Domain spoofing mirip bprs-amanah.co.id mengirim instruksi transfer Rp 250 Juta ke rekening vendor luar negeri
INC-2026-015,2026-07-05 19:20:45,Hacking & Exploitation,Cross-Site Scripting (XSS),Feedback Form Portal,Medium,portal_web_app,WAF Input Sanitizer,Blocked,0,Hifz al-Ird,Penyisipan script javascript document.cookie pada form saran nasabah; disaring oleh HTML entity encoding
INC-2026-016,2026-07-08 12:35:10,Malware,Worm Spread Attempt,Internal Office LAN,High,srv_file_share,Network IDS (Snort) Alert,Contained,0,Hifz al-Mal,Worm mencoba eksploitasi SMB v1 EternalBlue pada PC lama cabang; port 445 diblokir di firewall internal
INC-2026-017,2026-07-11 23:15:00,Insider Threat,Data Didling (Salami Technique),Accounting Batch Journal,Critical,usr_acc_mgr (Oknum Internal),Continuous Automated Audit Trail,Compromised,15750000,Hifz al-Mal & Hifz al-Amanah,Pemotongan pembulatan bunga/margin Rp 50 s.d Rp 150 per transaksi ditampung ke rekening penampung pribadi; terdeteksi log selisih
INC-2026-018,2026-07-14 10:05:00,Social Engineering,Smishing (SMS Phishing),Nasabah Mobile Banking,High,Nasabah Umum (150 SMS),Fraud Incident Center Report,Remediated,0,Hifz al-Ird & Hifz al-Mal,SMS broadcast palsu mengarahkan nasabah ke web phishing bprs-login-klaim.com; domain dilaporkan ke Kominfo & diblokir
INC-2026-019,2026-07-17 14:40:12,Human Error,Email Autocomplete Leak,Legal Division Mail,Medium,usr_legal01,Self-Report Incident,Remediated,0,Hifz al-Ird,Dokumen rahasia restrukturisasi pembiayaan terkirim ke alamat email nasabah lain akibat salah memilih nama kontak
INC-2026-020,2026-07-20 09:15:00,Hacking & Exploitation,Zero-Day Vulnerability,Core Firewall Firmware,Critical,fw_perimeter_01,Vendor Threat Advisory & Patch,Remediated,0,Hifz al-Mal,Penerapan emergency security patch pada firewall perimeter dalam kurun waktu 4 jam setelah publikasi CVE
INC-2026-021,2026-07-23 16:30:25,Social Engineering,Baiting (Infected USB Drive),Lobby Meja Tamu Kantor Pusat,Medium,resepsionis_pc01,USB Device Block Policy,Blocked,0,Hifz al-Mal,Flashdisk berlabel Daftar Gaji Karyawan 2026 diletakkan di lobby; ditancapkan resepsionis namun langsung diblokir software EDR
INC-2026-022,2026-07-26 13:50:00,Malware,Cryptojacking Miner,Reporting Server Background,High,srv_report_analytics,CPU Usage Spike Alert (>95%),Contained,0,Hifz al-Mal,Script XMRig miner berjalan di background server pelaporan akibat eksploitasi container Docker terbuka tanpa autentikasi
INC-2026-023,2026-07-29 21:10:00,Hacking & Exploitation,Man-in-the-Middle (MitM) Attempt,Free Wi-Fi Cafe (Remote Worker),High,usr_ao_remote02,VPN Mandatory Certificate Check,Blocked,0,Hifz al-Amanah,Karyawan WFA terkoneksi Wi-Fi publik palsu; VPN BPRS menolak koneksi karena kegagalan validasi sertifikat SSL
INC-2026-024,2026-08-02 11:20:00,Human Error,Lost Unencrypted Laptop,Lapangan Account Officer,High,usr_ao_field05,Device Tracking & Remote Wipe,Remediated,0,Hifz al-Ird & Hifz al-Mal,Laptop petugas tertinggal di transportasi umum; data berhasil di-remote wipe dari cloud console dan harddisk terenkripsi BitLocker
INC-2026-025,2026-08-05 15:45:00,Malware,Ransomware Phishing Attachment,HR Recruitment Mailbox,Critical,usr_hrd02 (Rina Melati),Sandbox Email Attachment Scanner,Blocked,0,Hifz al-Mal,Email lamaran kerja CV_SuratLamaran.pdf.exe terdeteksi berisi ransomware payload; langsung dihapus oleh mail gateway sandbox
